X,Y,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,REGION_NAME,GIS_ID,LATITUDE,LONGITUDE,GIS_LAST_MOD_DTTM,OBJECTID
"-8581203.50786306,4712208.82394464,44th St & New Mexico Ave NW,classic,1877753940179542324,,2024/10/22 07:04:38+00,19,0,0,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,""KEY,CREDITCARD"",,DCA-CABI,,38.933899,-77.086263,2024/10/22 07:07:28+00,217277795"
"-8574899.94307037,4709781.77440253,13th & U St NW,classic,732103a1-eedd-4044-afa6-67b2d192ff22,,2024/10/22 07:04:39+00,15,0,4,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,""KEY,CREDITCARD"",42,DCA-CABI,,38.916936,-77.029631,2024/10/22 07:07:28+00,217277796"
"-8596009.05181019,4711924.82903798,Jones Branch & Westbranch Dr,classic,082636d5-1f3f-11e7-bf6b-3863bb334450,,2024/10/22 07:04:39+00,3,0,10,2,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,13,""KEY,CREDITCARD"",104,DCA-CABI,,38.931911,-77.219261,2024/10/22 07:07:28+00,217277797"
"-8576920.9173449,4728104.11630173,Amherst Ave & Elkins St,classic,0826518d-1f3f-11e7-bf6b-3863bb334450,,2024/10/22 07:04:52+00,3,0,12,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,""KEY,CREDITCARD"",44,DCA-CABI,,39.044887,-77.047788,2024/10/22 07:07:28+00,217277798"
"-8597246.54186435,4704703.90107139,Prosperity Ave & Avenir Pl,classic,1893303738183408178,,2024/10/22 07:04:52+00,8,0,3,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,11,""KEY,CREDITCARD"",,DCA-CABI,,38.881436,-77.230377,2024/10/22 07:07:28+00,217277799"
"-8569725.24776201,4698170.95563517,United Medical Center,classic,5f0f9566-90d4-431e-9b6d-994e26d20ec6,,2024/10/22 07:04:48+00,13,0,6,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,""KEY,CREDITCARD"",42,DCA-CABI,,38.835737,-76.983144,2024/10/22 07:07:28+00,217277800"
"-8576205.25078654,4712334.80307396,18th St & Ingleside Ter NW,classic,1931715167823202508,,2024/10/22 07:05:04+00,4,0,13,5,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,""KEY,CREDITCARD"",,DCA-CABI,,38.934784,-77.041362,2024/10/22 07:07:28+00,217277801"
"-8576872.38618603,4726261.83206237,Windham Ln & Amherst Ave,classic,082652d2-1f3f-11e7-bf6b-3863bb334450,,2024/10/22 07:05:03+00,4,0,11,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,""KEY,CREDITCARD"",44,DCA-CABI,,39.032029,-77.04735,2024/10/22 07:07:28+00,217277802"
"-8572211.95110026,4708173.92859246,1st & M St NE,classic,0824927c-1f3f-11e7-bf6b-3863bb334450,,2024/10/22 07:05:06+00,5,0,10,2,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,""KEY,CREDITCARD"",42,DCA-CABI,,38.905697,-77.005483,2024/10/22 07:07:28+00,217277803"
"-8573558.63869294,4703491.85677852,4th & O St SW,classic,9c6fb0a8-d371-433f-b52e-ca47881156b3,,2024/10/22 07:05:06+00,0,0,15,2,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,""KEY,CREDITCARD"",42,DCA-CABI,,38.872964,-77.017585,2024/10/22 07:07:28+00,217277804"
"-8582759.51638146,4720332.14022952,Norfolk & Rugby Ave,classic,0825b27e-1f3f-11e7-bf6b-3863bb334450,,2024/10/22 07:05:00+00,11,0,0,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,11,""KEY,CREDITCARD"",44,DCA-CABI,,38.990639,-77.100239,2024/10/22 07:07:28+00,217277805"
"-8577384.32974829,4699498.16040139,S Clark St & 33rd St,classic,e2a96f4c-801e-4cf8-be0f-f767a5d8ca1b,,2024/10/22 07:05:01+00,0,0,12,2,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,""KEY,CREDITCARD"",41,DCA-CABI,,38.845028,-77.051956,2024/10/22 07:07:28+00,217277806"
